Bx,By,Bz
7.95, 12.89, 13.07
7.95, 12.89, 13.07
4.71, 14.51, 11.43
1.34, 10.92, 6.30
-0.63, -0.18, -4.90
-5.98, 5.19, 0.70
2.18, 14.15, 12.83
7.24, 13.07, 12.37
9.21, 12.36, 11.90
12.31, 8.06, 9.10
14.14, 7.16, 10.73
12.45, 12.89, 11.67
8.79, 11.82, 12.13
7.81, 12.72, 12.83
3.59, 13.07, 10.50
-0.21, 5.73, 1.40
-7.10, 0.54, -2.57
-0.77, 12.54, 10.27
5.42, 12.89, 12.60
8.93, 11.64, 12.37
11.18, 8.06, 9.57
12.45, 7.88, 10.27
11.89, 12.54, 10.27
9.78, 12.72, 12.37
4.85, 13.25, 12.60
1.05, 12.00, 9.57
-4.29, 4.84, 2.57
-3.45, 11.64, 5.37
1.48, 16.12, 13.07
6.68, 13.43, 11.43
8.37, 12.00, 13.30
12.31, 9.85, 9.57
13.43, 8.78, 10.50
11.89, 10.39, 11.67
9.63, 12.54, 14.47
6.96, 14.15, 14.23
2.04, 11.82, 10.27
-0.77, 6.45, 2.33
-3.31, 7.16, 4.67
1.76, 13.61, 13.07
6.54, 14.33, 12.13
8.51, 11.10, 10.73
12.73, 6.09, 8.87
14.28, 6.98, 9.10
11.89, 10.39, 11.67
8.37, 13.07, 10.97
5.42, 12.54, 13.53
3.02, 12.36, 9.57
2.04, 6.09, 0.00
-5.98, -0.18, -3.03
-0.49, 13.25, 7.93
6.12, 13.79, 13.30
9.21, 12.00, 13.77
10.62, 9.49, 10.50
14.42, 10.03, 9.33
13.43, 9.13, 10.97
11.04, 11.10, 13.53
7.24, 13.43, 13.30
2.88, 13.61, 10.27
3.02, 6.98, 1.63
-5.56, -7.52, -8.87
-2.04, 11.64, 5.83
4.43, 13.79, 12.37
8.93, 11.28, 13.30
11.04, 11.82, 11.20
13.15, 10.57, 10.50
13.43, 9.49, 10.97
8.79, 13.97, 13.53
6.54, 13.97, 13.53
2.74, 14.51, 11.43
0.35, 8.95, 3.73
-1.34, 2.15, -1.87
-2.46, 13.61, 7.47
4.01, 14.69, 11.67
7.24, 12.72, 12.37
9.63, 11.82, 8.40
12.31, 9.13, 8.63
14.28, 9.49, 9.10
12.17, 12.54, 12.13
9.35, 12.54, 11.67
4.57, 12.89, 12.60
1.34, 13.07, 8.17
-0.77, 2.51, 0.00
-6.96, 5.37, 0.93
1.20, 13.61, 12.13
6.82, 15.04, 12.13
10.20, 10.75, 12.13
13.43, 10.21, 9.10
13.57, 9.67, 9.80
11.74, 12.36, 10.03
6.96, 14.51, 11.90
3.87, 14.51, 11.90
1.62, 10.57, 6.30
1.76, 3.94, -1.87
-4.57, 5.19, -1.17
-0.49, 12.18, 6.53
5.13, 15.04, 14.93
6.68, 13.07, 12.37
10.76, 11.10, 11.67
13.15, 8.42, 9.57
12.87, 10.57, 9.10
9.35, 12.89, 12.60
6.40, 13.79, 12.37
2.88, 11.82, 11.20
0.63, 8.60, 5.60
