Bx, By, Bz
2.57, 5.41, 10.72
4.09, 4.79, 11.32
3.81, 7.28, 12.52
4.51, 8.32, 13.52
4.23, 7.91, 13.12
4.92, 8.95, 14.93
3.68, 7.91, 14.33
4.09, 9.36, 14.93
7.84, 8.74, 12.72
8.11, 12.90, 14.73
5.48, 8.95, 14.53
2.29, 1.25, 13.92
1.60, 3.95, 12.52
1.73, 5.83, 13.52
1.60, 7.70, 12.12
4.37, 6.03, 8.11
8.53, 3.95, 6.11
10.33, 8.32, 11.92
6.59, 16.44, 17.33
4.92, 9.78, 17.33
2.98, 3.54, 13.32
0.62, 4.58, 15.13
0.49, 10.19, 15.33
3.54, 3.54, 12.12
7.14, 5.20, 5.71
10.06, 4.99, 7.91
9.36, 12.28, 14.53
4.79, 9.15, 19.53
0.21, 5.62, 16.93
0.35, 6.24, 16.33
0.49, 9.78, 15.73
1.04, 6.45, 10.52
5.34, 4.58, 6.71
9.09, 9.78, 11.72
8.25, 16.02, 17.73
3.54, 10.61, 20.14
0.62, 5.83, 17.93
1.18, 11.65, 15.93
1.46, 7.91, 14.73
4.37, 3.95, 7.71
9.22, 6.24, 9.52
11.44, 15.40, 13.92
7.98, 21.85, 17.33
2.84, 12.07, 21.54
-0.21, 10.40, 19.53
1.04, 11.86, 17.33
-0.21, 8.32, 12.32
5.90, 2.08, 7.91
9.36, 7.28, 8.92
11.03, 18.10, 13.72
6.87, 22.26, 18.53
-2.01, 11.86, 20.54
-2.29, 10.61, 18.53
-0.49, 13.73, 18.73
2.84, 11.24, 13.12
8.81, 4.37, 7.31
14.77, 13.32, 6.31
14.08, 22.26, 12.52
8.81, 21.85, 19.33
2.29, 14.15, 19.94
-0.35, 15.19, 18.13
-0.07, 10.61, 18.13
2.15, 6.03, 9.72
9.50, 4.99, 5.51
14.36, 12.28, 5.71
13.80, 24.76, 13.32
8.39, 24.55, 19.13
1.32, 16.44, 21.34
1.60, 18.52, 20.54
1.87, 10.61, 15.33
7.42, 4.79, 8.11
12.83, 9.57, 5.11
13.11, 20.81, 11.52
10.89, 25.80, 17.13
2.57, 17.06, 21.54
-2.29, 14.36, 20.54
0.90, 15.40, 18.33
5.20, 8.11, 9.72
13.11, 4.99, 3.51
16.58, 12.28, 2.10
15.60, 27.88, 9.92
8.11, 27.88, 18.33
0.21, 15.19, 22.54
-0.21, 15.40, 19.94
1.87, 14.77, 16.93
4.37, 10.61, 13.32
8.67, 7.91, 8.72
11.17, 16.23, 10.72
8.53, 25.18, 18.93
7.70, 18.93, 20.14
3.95, 12.48, 21.14
3.68, 21.64, 19.94
4.51, 14.98, 15.93
5.48, 7.28, 8.52
13.52, 9.36, 3.71
15.33, 20.81, 9.12
12.97, 27.67, 16.53
4.51, 17.48, 21.94
2.29, 13.73, 19.94
1.87, 15.60, 16.93
4.23, 9.15, 11.52
9.64, 7.70, 5.71
12.55, 14.98, 7.91
